source_url,source_name,sportsbook,retrieval_timestamp,nfl_week,game_date,player,position,team,opponent,stat_category,line,over_price,under_price
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Sam LaPorta,TE,DET,NYJ,TE receptions,4.5,-106,-120
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,DK Metcalf,WR,PIT,CIN,WR receptions,4.5,+103,-132
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Tee Higgins,WR,CIN,PIT,WR receptions,4.5,-111,-115
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Parker Washington,WR,JAX,NE,WR receptions,4.5,-144,+113
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Ladd McConkey,WR,LAC,BUF,WR receptions,4.5,+121,-155
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Emeka Egbuka,WR,TB,MIN,WR receptions,4.5,+129,-165
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-28,Dontayvion Wicks,WR,PHI,CHI,WR receptions,2.5,-174,+136
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Chris Godwin,WR,TB,MIN,WR receptions,3.5,+128,-164
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Breece Hall,RB,NYJ,DET,RB receptions,3.5,+117,-150
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Chase Brown,RB,CIN,PIT,RB receptions,3.5,+108,-138
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,DJ Moore,WR,BUF,LAC,WR receptions,3.5,-150,+117
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Quentin Johnston,WR,LAC,BUF,WR receptions,3.5,+128,-164
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-24,Kyle Pitts,TE,ATL,GB,TE receptions,3.5,-122,-104
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,TJ Hockenson,TE,MIN,TB,TE receptions,3.5,-104,-123
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Jake Ferguson,TE,DAL,BAL,TE receptions,3.5,-116,-110
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Romeo Doubs,WR,NE,JAX,WR receptions,3.5,+125,-160
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Cade Otton,TE,TB,MIN,TE receptions,2.5,-172,+134
